,Ind,Pop,Row.x,Col,Source,Row.y,Column,Block,Population,State,Country,Longitude,Latitude,Elevation,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
40,2024_35_C,2024,35,C,2024,35,C,seven,Upper_Jay,New-York,USA,-73.66667,44.41667,610,56,119,29,9929,259,-149,408,179,-65,179,-77,907,106,51,20,281,163,281,171
41,2027_41_F,2027,41,F,2027,41,F,twentyone,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500,60,118,30,9488,256,-135,391,14,-54,179,-67,1142,110,80,10,303,248,302,258
42,2027_41_J,2027,41,J,2027,41,J,twentyone,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500,60,118,30,9488,256,-135,391,14,-54,179,-67,1142,110,80,10,303,248,302,258
43,2027_42_H,2027,42,H,2027,42,H,twentyone,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500,60,118,30,9488,256,-135,391,14,-54,179,-67,1142,110,80,10,303,248,302,258
44,2027_42_J,2027,42,J,2027,42,J,twentyone,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500,60,118,30,9488,256,-135,391,14,-54,179,-67,1142,110,80,10,303,248,302,258
45,2027_43_G,2027,43,G,2027,43,G,twentyone,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500,60,118,30,9488,256,-135,391,14,-54,179,-67,1142,110,80,10,303,248,302,258
46,2027_44_G,2027,44,G,2027,44,G,twentyone,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500,60,118,30,9488,256,-135,391,14,-54,179,-67,1142,110,80,10,303,248,302,258
47,2027_44_H,2027,44,H,2027,44,H,twentyone,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500,60,118,30,9488,256,-135,391,14,-54,179,-67,1142,110,80,10,303,248,302,258
48,2027_45_I,2027,45,I,2027,45,I,twentyone,Pillsbury_State_Forest,New-Hampshire,USA,-72.08333,43.2,500,60,118,30,9488,256,-135,391,14,-54,179,-67,1142,110,80,10,303,248,302,258
49,2030_1_F,2030,1,F,2030,1,F,thirteen,Amherst,Maine,USA,-68.38333,44.9,150,58,116,29,9611,257,-142,399,15,179,179,-71,1120,123,84,13,331,254,254,287
50,2030_3_H,2030,3,H,2030,3,H,thirteen,Amherst,Maine,USA,-68.38333,44.9,150,58,116,29,9611,257,-142,399,15,179,179,-71,1120,123,84,13,331,254,254,287
51,2030_4_J,2030,4,J,2030,4,J,thirteen,Amherst,Maine,USA,-68.38333,44.9,150,58,116,29,9611,257,-142,399,15,179,179,-71,1120,123,84,13,331,254,254,287
52,2030_56_O,2030,56,O,2030,56,O,thirtysix,Amherst,Maine,USA,-68.38333,44.9,150,58,116,29,9611,257,-142,399,15,179,179,-71,1120,123,84,13,331,254,254,287
53,2030_57_O,2030,57,O,2030,57,O,thirtysix,Amherst,Maine,USA,-68.38333,44.9,150,58,116,29,9611,257,-142,399,15,179,179,-71,1120,123,84,13,331,254,254,287
54,2030_58_K,2030,58,K,2030,58,K,thirtysix,Amherst,Maine,USA,-68.38333,44.9,150,58,116,29,9611,257,-142,399,15,179,179,-71,1120,123,84,13,331,254,254,287
55,2030_59_N,2030,59,N,2030,59,N,thirtysix,Amherst,Maine,USA,-68.38333,44.9,150,58,116,29,9611,257,-142,399,15,179,179,-71,1120,123,84,13,331,254,254,287
56,2030_60_L,2030,60,L,2030,60,L,thirtysix,Amherst,Maine,USA,-68.38333,44.9,150,58,116,29,9611,257,-142,399,15,179,179,-71,1120,123,84,13,331,254,254,287
57,2032_46_B,2032,46,B,2032,46,B,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270,37,100,23,10832,243,-174,417,171,-43,171,-110,1148,121,72,18,349,221,349,262
58,2032_46_E,2032,46,E,2032,46,E,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270,37,100,23,10832,243,-174,417,171,-43,171,-110,1148,121,72,18,349,221,349,262
59,2032_48_A,2032,48,A,2032,48,A,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270,37,100,23,10832,243,-174,417,171,-43,171,-110,1148,121,72,18,349,221,349,262
60,2032_48_C,2032,48,C,2032,48,C,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270,37,100,23,10832,243,-174,417,171,-43,171,-110,1148,121,72,18,349,221,349,262
61,2032_48_E,2032,48,E,2032,48,E,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270,37,100,23,10832,243,-174,417,171,-43,171,-110,1148,121,72,18,349,221,349,262
62,2032_49_A,2032,49,A,2032,49,A,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270,37,100,23,10832,243,-174,417,171,-43,171,-110,1148,121,72,18,349,221,349,262
63,2032_49_B,2032,49,B,2032,49,B,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270,37,100,23,10832,243,-174,417,171,-43,171,-110,1148,121,72,18,349,221,349,262
64,2032_50_E,2032,50,E,2032,50,E,ten,Valcartier_Forest_Experimental_Station,Quebec,Canada,-71.55,46.91667,270,37,100,23,10832,243,-174,417,171,-43,171,-110,1148,121,72,18,349,221,349,262
65,2100_12_K,2100,12,K,2100,12,K,twentyseven,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60,52,97,28,8432,227,-113,340,-26,129,157,-57,1343,144,94,15,414,292,302,375
66,2100_18_B,2100,18,B,2100,18,B,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60,52,97,28,8432,227,-113,340,-26,129,157,-57,1343,144,94,15,414,292,302,375
67,2100_19_B,2100,19,B,2100,19,B,four,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60,52,97,28,8432,227,-113,340,-26,129,157,-57,1343,144,94,15,414,292,302,375
68,2100_46_J,2100,46,J,2100,46,J,twentytwo,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60,52,97,28,8432,227,-113,340,-26,129,157,-57,1343,144,94,15,414,292,302,375
69,2100_47_H,2100,47,H,2100,47,H,twentytwo,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60,52,97,28,8432,227,-113,340,-26,129,157,-57,1343,144,94,15,414,292,302,375
70,2100_47_J,2100,47,J,2100,47,J,twentytwo,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60,52,97,28,8432,227,-113,340,-26,129,157,-57,1343,144,94,15,414,292,302,375
71,2100_48_I,2100,48,I,2100,48,I,twentytwo,Sheet_Harbour_Waters,Nova-Scotia,Canada,-62.73333,45.2,60,52,97,28,8432,227,-113,340,-26,129,157,-57,1343,144,94,15,414,292,302,375
72,2101_14_G,2101,14,G,2101,14,G,fifteen,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60,62,75,27,6896,197,-75,272,0,144,146,-28,1267,142,83,17,404,264,265,375
73,2101_14_I,2101,14,I,2101,14,I,fifteen,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60,62,75,27,6896,197,-75,272,0,144,146,-28,1267,142,83,17,404,264,265,375
74,2101_46_K,2101,46,K,2101,46,K,thirtyfour,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60,62,75,27,6896,197,-75,272,0,144,146,-28,1267,142,83,17,404,264,265,375
75,2101_46_O,2101,46,O,2101,46,O,thirtyfour,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60,62,75,27,6896,197,-75,272,0,144,146,-28,1267,142,83,17,404,264,265,375
76,2101_47_K,2101,47,K,2101,47,K,thirtyfour,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60,62,75,27,6896,197,-75,272,0,144,146,-28,1267,142,83,17,404,264,265,375
77,2101_49_K,2101,49,K,2101,49,K,thirtyfour,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60,62,75,27,6896,197,-75,272,0,144,146,-28,1267,142,83,17,404,264,265,375
78,2101_49_L,2101,49,L,2101,49,L,thirtyfour,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60,62,75,27,6896,197,-75,272,0,144,146,-28,1267,142,83,17,404,264,265,375
79,2101_50_M,2101,50,M,2101,50,M,thirtyfour,Corberrie,Nova-Scotia,Canada,-65.9,44.16667,60,62,75,27,6896,197,-75,272,0,144,146,-28,1267,142,83,17,404,264,265,375
80,2103_36_A,2103,36,A,2103,36,A,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
81,2103_36_B,2103,36,B,2103,36,B,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
82,2103_36_C,2103,36,C,2103,36,C,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
83,2103_36_E,2103,36,E,2103,36,E,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
84,2103_38_B,2103,38,B,2103,38,B,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
85,2103_39_A,2103,39,A,2103,39,A,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
86,2103_40_B,2103,40,B,2103,40,B,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
87,2103_40_D,2103,40,D,2103,40,D,eight,Centra_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.33333,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
88,2505_36_O,2505,36,O,2505,36,O,thirtytwo,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
89,2505_38_O,2505,38,O,2505,38,O,thirtytwo,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
90,2505_39_O,2505,39,O,2505,39,O,thirtytwo,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
91,2505_40_O,2505,40,O,2505,40,O,thirtytwo,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
92,2505_60_G,2505,60,G,2505,60,G,twentyfour,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
93,2505_60_I,2505,60,I,2505,60,I,twentyfour,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
94,2505_9_A,2505,9,A,2505,9,A,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
95,2505_9_C,2505,9,C,2505,9,C,two,Eastern_Acadia_Forest_Experiment_Station,New-Brunswick,Canada,-66.2,46.03333,60,49,107,26,9967,248,-151,399,-52,-28,174,-85,1110,110,82,10,318,249,276,292
